Name,n_poem,url,poem_url,first_poem_url
Paul Laurence Dunbar,424,https://www.poemhunter.com/paul-laurence-dunbar/poems/,https://www.poemhunter.com/poem/we-wear-the-mask/,https://www.poemhunter.com/poem/a-back-log-song/
Siegfried Sassoon,166,https://www.poemhunter.com/siegfried-sassoon/poems/,https://www.poemhunter.com/poem/suicide-in-the-trenches/,https://www.poemhunter.com/poem/the-rank-stench-of-those-bodies-haunts-me-still/
Margaret Atwood,30,https://www.poemhunter.com/margaret-atwood/poems/,https://www.poemhunter.com/poem/a-sad-child/,https://www.poemhunter.com/poem/a-sad-child/
Elizabeth Bishop,72,https://www.poemhunter.com/elizabeth-bishop/poems/,https://www.poemhunter.com/poem/one-art/,https://www.poemhunter.com/poem/a-miracle-for-breakfast/
John Milton,115,https://www.poemhunter.com/john-milton/poems/,https://www.poemhunter.com/poem/on-his-blindness/,https://www.poemhunter.com/poem/an-epitaph-on-the-admirable-dramatic-poet-w-shak/
Claude McKay,80,https://www.poemhunter.com/claude-mckay/poems/,https://www.poemhunter.com/poem/if-we-must-die/,https://www.poemhunter.com/poem/a-memory-of-june/
Nazim Hikmet,38,https://www.poemhunter.com/nazim-hikmet/poems/,https://www.poemhunter.com/poem/optimistic-man/,https://www.poemhunter.com/poem/a-sad-state-of-freedom/
Countee Cullen,28,https://www.poemhunter.com/countee-cullen/poems/,https://www.poemhunter.com/poem/incident/,https://www.poemhunter.com/poem/a-brown-girl-dead/
Anne Bradstreet,62,https://www.poemhunter.com/anne-bradstreet/poems/,https://www.poemhunter.com/poem/to-my-dear-and-loving-husband/,https://www.poemhunter.com/poem/a-dialogue-between-old-england-and-new/
Judith Wright,32,https://www.poemhunter.com/judith-wright/poems/,https://www.poemhunter.com/poem/request-to-a-year/,https://www.poemhunter.com/poem/all-things-conspire/
Thomas Hardy,326,https://www.poemhunter.com/thomas-hardy/poems/,https://www.poemhunter.com/poem/i-said-to-love/,https://www.poemhunter.com/poem/between-us-now/
Mewlana Jalaluddin Rumi,149,https://www.poemhunter.com/mewlana-jalaluddin-rumi/poems/,https://www.poemhunter.com/poem/a-moment-of-happiness/,https://www.poemhunter.com/poem/a-moment-of-happiness/
Rupert Brooke,118,https://www.poemhunter.com/rupert-brooke/poems/,https://www.poemhunter.com/poem/1914-v-the-soldier/,https://www.poemhunter.com/poem/1914-i-peace/
William Carlos Williams,133,https://www.poemhunter.com/william-carlos-williams/poems/,https://www.poemhunter.com/poem/the-red-wheelbarrow/,https://www.poemhunter.com/poem/libertad-igualdad-fraternidad/
Oscar Wilde,110,https://www.poemhunter.com/oscar-wilde/poems/,https://www.poemhunter.com/poem/her-voice/,https://www.poemhunter.com/poem/a-fragment-6/
Mirza Ghalib,26,https://www.poemhunter.com/mirza-ghalib/poems/,https://www.poemhunter.com/poem/it-is-not-love-it-is-madness/,https://www.poemhunter.com/poem/he-was-when-it-was-aught/
