,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
21,Justin Bieber,F*CK LOVE 3+: OVER YOU,2,3WzfXRam19wUFgssP4Zq6z,MAYBE,spotify:track:3WzfXRam19wUFgssP4Zq6z,0.00556,0.606,0.533,0.0,0.292,-4.833,0.077,89.079,0.156,59
22,Justin Bieber,F*CK LOVE 3+: OVER YOU,3,32cDvfCsazF1frFWcaMjc1,WRONG (feat. Lil Mosey),spotify:track:32cDvfCsazF1frFWcaMjc1,0.038,0.389,0.768,0.0,0.119,-4.765,0.256,90.146,0.334,62
23,Justin Bieber,F*CK LOVE 3+: OVER YOU,4,3A56JH6cQxacCZwTsptBzI,I WISH,spotify:track:3A56JH6cQxacCZwTsptBzI,0.0375,0.788,0.656,0.0,0.127,-6.974,0.047,138.981,0.549,55
24,Justin Bieber,F*CK LOVE 3+: OVER YOU,5,10XwT9r62bJtgK07aaitUk,NOT FAIR (feat. Corbin),spotify:track:10XwT9r62bJtgK07aaitUk,0.468,0.412,0.657,0.0,0.318,-5.535,0.124,76.342,0.625,59
25,Justin Bieber,F*CK LOVE 3+: OVER YOU,6,4BhDYmhCmMZCUmPxjzWtDX,BATHROOM (skit),spotify:track:4BhDYmhCmMZCUmPxjzWtDX,0.94,0.8,0.743,0.0,0.774,-9.05,0.912,116.899,0.593,5
26,Justin Bieber,F*CK LOVE 3+: OVER YOU,7,4lH5L59hPQGr05aJyb2Q2E,GO (feat. Juice WRLD),spotify:track:4lH5L59hPQGr05aJyb2Q2E,0.157,0.487,0.74,0.0,0.612,-4.973,0.0944,73.779,0.522,69
27,Justin Bieber,F*CK LOVE 3+: OVER YOU,8,40DD3lGA9Xkp4InlWyqT9z,TELL ME WHY,spotify:track:40DD3lGA9Xkp4InlWyqT9z,0.109,0.6,0.723,0.0,0.167,-4.928,0.158,149.881,0.463,61
28,Justin Bieber,F*CK LOVE 3+: OVER YOU,9,2c5LB4wbweJ73WA8t0GxY6,SAME THING,spotify:track:2c5LB4wbweJ73WA8t0GxY6,0.0225,0.662,0.659,0.0,0.107,-4.642,0.155,135.95,0.363,55
29,Justin Bieber,F*CK LOVE 3+: OVER YOU,10,4ptpUofmWMGsb8Xg1138L3,NEW GUY (skit),spotify:track:4ptpUofmWMGsb8Xg1138L3,0.977,0.766,0.363,9.1e-06,0.575,-12.35,0.949,85.494,0.0529,4
30,Justin Bieber,F*CK LOVE 3+: OVER YOU,11,298My2E9vU1ihwi7deeeZM,ERASE U,spotify:track:298My2E9vU1ihwi7deeeZM,0.0458,0.75,0.641,0.0,0.193,-5.134,0.0353,144.988,0.743,58
31,Justin Bieber,F*CK LOVE 3+: OVER YOU,12,6LRl4EPstQ6LyJmsltZoza,RUNNING,spotify:track:6LRl4EPstQ6LyJmsltZoza,0.377,0.438,0.585,0.0,0.13,-5.425,0.0908,100.834,0.313,53
32,Justin Bieber,F*CK LOVE 3+: OVER YOU,13,27jvPeF0CzGiIc6luvkQJT,WISH YOU WELL (skit),spotify:track:27jvPeF0CzGiIc6luvkQJT,0.955,0.619,0.256,0.0,0.596,-12.522,0.538,170.572,0.656,43
33,Justin Bieber,F*CK LOVE 3+: OVER YOU,14,0wHxD9Aq67t0kBQjIIo6u3,NEED YOU MOST (So Sick),spotify:track:0wHxD9Aq67t0kBQjIIo6u3,0.0681,0.63,0.707,0.0,0.284,-3.632,0.0508,86.849,0.285,61
34,Justin Bieber,F*CK LOVE 3+: OVER YOU,15,2XnyJuFQPSQmhrncI7mNoO,SELFISH,spotify:track:2XnyJuFQPSQmhrncI7mNoO,0.166,0.373,0.539,0.0,0.139,-4.865,0.086,77.006,0.075,59
